game_id,date,home_team,away_team,league,home_Possession_value,away_Possession_value,home_Passing Accuracy_value,home_Passing Accuracy_attempts,away_Passing Accuracy_value,away_Passing Accuracy_attempts,home_Shots on Target_value,home_Shots on Target_attempts,away_Shots on Target_value,away_Shots on Target_attempts,home_Saves_value,home_Saves_attempts,away_Saves_value,away_Saves_attempts,home_goals,away_goals,home_xg,away_xg,home_Fouls,away_Fouls,home_Corners,away_Corners,home_Crosses,away_Crosses,home_Touches,away_Touches,home_Tackles,away_Tackles,home_Interceptions,away_Interceptions,home_Aerials Won,away_Aerials Won,home_Clearances,away_Clearances,home_Offsides,away_Offsides,home_Goal Kicks,away_Goal Kicks,home_Throw Ins,away_Throw Ins,home_Long Balls,away_Long Balls
Gremio-Athletico-Paranaense-April-17-2024-Serie-A,2024-04-17,Grêmio,Athletico Paranaense,Campeonato Brasileiro Série A,48%,52%,361,468,389,500,7,14,0,4,0,0,5,7,2,0,1.1,0.2,7,13,9,2,14,11,570,605,12,14,5,3,15,17,22,30,0,1,4,6,19,15,72,61
Red-Bull-Bragantino-Vasco-da-Gama-April-17-2024-Serie-A,2024-04-17,Red Bull Bragantino,Vasco da Gama,Campeonato Brasileiro Série A,41%,59%,259,363,420,527,5,17,3,13,2,3,3,5,2,1,0.9,1.2,14,15,4,6,14,36,478,639,10,14,9,15,20,28,34,21,0,3,9,9,23,21,63,71
Juventude-Corinthians-April-17-2024-Serie-A,2024-04-17,Juventude,Corinthians,Campeonato Brasileiro Série A,44%,56%,331,432,432,543,8,16,2,17,2,2,6,8,2,0,1.6,1.1,16,10,6,7,18,24,564,639,23,8,12,13,12,8,26,11,1,2,12,6,19,35,51,68
Atletico-Mineiro-Criciuma-April-17-2024-Serie-A,2024-04-17,Atlético Mineiro,Criciúma,Campeonato Brasileiro Série A,68%,32%,667,762,298,364,6,22,1,5,0,1,5,6,1,1,1.0,0.3,12,10,9,2,26,11,882,511,30,14,8,7,13,12,13,36,2,0,4,9,19,13,70,64
Palmeiras-Internacional-April-17-2024-Serie-A,2024-04-17,Palmeiras,Internacional,Campeonato Brasileiro Série A,64%,36%,426,538,211,306,3,18,2,4,1,2,3,3,0,1,1.4,1.1,17,21,6,2,27,2,631,427,12,16,12,9,21,15,5,34,4,1,3,14,28,14,84,80
Fortaleza-Cruzeiro-April-17-2024-Serie-A,2024-04-17,Fortaleza,Cruzeiro,Campeonato Brasileiro Série A,39%,61%,245,332,429,511,3,14,5,14,4,5,2,3,1,1,0.6,0.8,13,10,7,5,23,16,441,596,14,15,8,5,11,15,19,19,0,2,8,6,12,11,62,46
Bahia-Fluminense-April-16-2024-Serie-A,2024-04-16,Bahia,Fluminense,Campeonato Brasileiro Série A,40%,60%,301,390,493,580,5,12,3,9,2,3,3,5,2,1,1.1,0.4,15,23,4,3,16,18,500,674,26,16,7,9,10,7,20,15,3,2,3,9,17,19,44,37
Flamengo-Sao-Paulo-April-17-2024-Serie-A,2024-04-17,Flamengo,São Paulo,Campeonato Brasileiro Série A,47%,53%,350,440,415,501,6,12,3,10,2,3,4,6,2,1,1.3,0.7,19,19,9,1,11,16,538,598,13,14,10,13,15,15,17,21,1,2,6,5,20,18,77,50
Botafogo-RJ-Atletico-Goianiense-April-18-2024-Serie-A,2024-04-18,Botafogo (RJ),Atlético Goianiense,Campeonato Brasileiro Série A,52%,48%,406,497,351,455,4,13,3,12,3,3,3,4,1,0,0.6,0.9,13,11,8,8,16,27,618,567,14,15,8,8,12,26,33,17,1,2,5,8,11,23,73,67
Fluminense-Vasco-da-Gama-April-20-2024-Serie-A,2024-04-20,Fluminense,Vasco da Gama,Campeonato Brasileiro Série A,57%,43%,496,583,340,436,8,11,5,21,4,5,6,8,2,1,1.3,1.9,16,17,2,7,18,24,707,535,17,20,7,11,5,18,16,12,1,4,10,4,13,19,52,61
